prueba,sexo,rango_edad,limite_inferior,limite_superior,unidad_referencia
chair_stand,F,60-64,12,17,repeticiones
chair_stand,F,65-69,11,16,repeticiones
chair_stand,F,70-74,10,15,repeticiones
chair_stand,F,75-79,10,15,repeticiones
chair_stand,F,80-84,9,14,repeticiones
chair_stand,F,85-89,8,13,repeticiones
chair_stand,F,90-94,4,11,repeticiones
chair_stand,M,60-64,14,19,repeticiones
chair_stand,M,65-69,12,18,repeticiones
chair_stand,M,70-74,12,17,repeticiones
chair_stand,M,75-79,11,17,repeticiones
chair_stand,M,80-84,10,15,repeticiones
chair_stand,M,85-89,8,14,repeticiones
chair_stand,M,90-94,7,12,repeticiones
arm_curl,F,60-64,13,19,repeticiones
arm_curl,F,65-69,12,18,repeticiones
arm_curl,F,70-74,12,17,repeticiones
arm_curl,F,75-79,11,17,repeticiones
arm_curl,F,80-84,10,16,repeticiones
arm_curl,F,85-89,10,15,repeticiones
arm_curl,F,90-94,8,13,repeticiones
arm_curl,M,60-64,16,22,repeticiones
arm_curl,M,65-69,15,21,repeticiones
arm_curl,M,70-74,14,21,repeticiones
arm_curl,M,75-79,13,19,repeticiones
arm_curl,M,80-84,13,19,repeticiones
arm_curl,M,85-89,11,17,repeticiones
arm_curl,M,90-94,10,14,repeticiones
six_min_walk,F,60-64,545,660,yardas
six_min_walk,F,65-69,500,635,yardas
six_min_walk,F,70-74,480,615,yardas
six_min_walk,F,75-79,435,585,yardas
six_min_walk,F,80-84,385,540,yardas
six_min_walk,F,85-89,340,510,yardas
six_min_walk,F,90-94,275,440,yardas
six_min_walk,M,60-64,610,735,yardas
six_min_walk,M,65-69,560,700,yardas
six_min_walk,M,70-74,545,680,yardas
six_min_walk,M,75-79,470,640,yardas
six_min_walk,M,80-84,445,605,yardas
six_min_walk,M,85-89,380,570,yardas
six_min_walk,M,90-94,305,500,yardas
two_min_step,F,60-64,75,107,pasos
two_min_step,F,65-69,73,107,pasos
two_min_step,F,70-74,68,101,pasos
two_min_step,F,75-79,68,100,pasos
two_min_step,F,80-84,60,90,pasos
two_min_step,F,85-89,55,85,pasos
two_min_step,F,90-94,44,72,pasos
two_min_step,M,60-64,87,115,pasos
two_min_step,M,65-69,86,116,pasos
two_min_step,M,70-74,80,110,pasos
two_min_step,M,75-79,73,109,pasos
two_min_step,M,80-84,71,103,pasos
two_min_step,M,85-89,59,91,pasos
two_min_step,M,90-94,52,86,pasos
chair_sit_reach,F,60-64,-0.5,5.0,pulgadas
chair_sit_reach,F,65-69,-0.5,4.5,pulgadas
chair_sit_reach,F,70-74,-1.0,4.0,pulgadas
chair_sit_reach,F,75-79,-1.5,3.5,pulgadas
chair_sit_reach,F,80-84,-2.0,3.0,pulgadas
chair_sit_reach,F,85-89,-2.5,2.5,pulgadas
chair_sit_reach,F,90-94,-4.5,1.0,pulgadas
chair_sit_reach,M,60-64,-2.5,4.0,pulgadas
chair_sit_reach,M,65-69,-3.0,3.0,pulgadas
chair_sit_reach,M,70-74,-3.0,3.0,pulgadas
chair_sit_reach,M,75-79,-4.0,2.0,pulgadas
chair_sit_reach,M,80-84,-5.5,1.5,pulgadas
chair_sit_reach,M,85-89,-5.5,0.5,pulgadas
chair_sit_reach,M,90-94,-6.5,-0.5,pulgadas
back_scratch,F,60-64,-3.0,1.5,pulgadas
back_scratch,F,65-69,-3.5,1.5,pulgadas
back_scratch,F,70-74,-4.0,1.0,pulgadas
back_scratch,F,75-79,-5.0,0.5,pulgadas
back_scratch,F,80-84,-5.5,0.0,pulgadas
back_scratch,F,85-89,-7.0,-1.0,pulgadas
back_scratch,F,90-94,-8.0,-1.0,pulgadas
back_scratch,M,60-64,-6.5,0.0,pulgadas
back_scratch,M,65-69,-7.5,-1.0,pulgadas
back_scratch,M,70-74,-8.0,-1.0,pulgadas
back_scratch,M,75-79,-9.0,-2.0,pulgadas
back_scratch,M,80-84,-9.5,-2.0,pulgadas
back_scratch,M,85-89,-9.5,-3.0,pulgadas
back_scratch,M,90-94,-10.5,-4.0,pulgadas
eight_foot_up_go,F,60-64,4.4,6.0,segundos
eight_foot_up_go,F,65-69,4.8,6.4,segundos
eight_foot_up_go,F,70-74,4.9,7.1,segundos
eight_foot_up_go,F,75-79,5.2,7.4,segundos
eight_foot_up_go,F,80-84,5.7,8.7,segundos
eight_foot_up_go,F,85-89,6.2,9.6,segundos
eight_foot_up_go,F,90-94,7.3,11.5,segundos
eight_foot_up_go,M,60-64,3.8,5.6,segundos
eight_foot_up_go,M,65-69,4.3,5.9,segundos
eight_foot_up_go,M,70-74,4.4,6.2,segundos
eight_foot_up_go,M,75-79,4.6,7.2,segundos
eight_foot_up_go,M,80-84,5.2,7.6,segundos
eight_foot_up_go,M,85-89,5.5,8.9,segundos
eight_foot_up_go,M,90-94,6.2,10.0,segundos
