prueba,sexo,rango_edad,criterio,unidad_referencia,regla
chair_stand,F,60-64,15,repeticiones,>=
chair_stand,F,65-69,15,repeticiones,>=
chair_stand,F,70-74,14,repeticiones,>=
chair_stand,F,75-79,13,repeticiones,>=
chair_stand,F,80-84,12,repeticiones,>=
chair_stand,F,85-89,11,repeticiones,>=
chair_stand,F,90-94,9,repeticiones,>=
chair_stand,M,60-64,17,repeticiones,>=
chair_stand,M,65-69,16,repeticiones,>=
chair_stand,M,70-74,15,repeticiones,>=
chair_stand,M,75-79,14,repeticiones,>=
chair_stand,M,80-84,13,repeticiones,>=
chair_stand,M,85-89,11,repeticiones,>=
chair_stand,M,90-94,9,repeticiones,>=
arm_curl,F,60-64,17,repeticiones,>=
arm_curl,F,65-69,17,repeticiones,>=
arm_curl,F,70-74,16,repeticiones,>=
arm_curl,F,75-79,15,repeticiones,>=
arm_curl,F,80-84,14,repeticiones,>=
arm_curl,F,85-89,13,repeticiones,>=
arm_curl,F,90-94,11,repeticiones,>=
arm_curl,M,60-64,19,repeticiones,>=
arm_curl,M,65-69,18,repeticiones,>=
arm_curl,M,70-74,17,repeticiones,>=
arm_curl,M,75-79,16,repeticiones,>=
arm_curl,M,80-84,15,repeticiones,>=
arm_curl,M,85-89,13,repeticiones,>=
arm_curl,M,90-94,11,repeticiones,>=
six_min_walk,F,60-64,625,yardas,>=
six_min_walk,F,65-69,605,yardas,>=
six_min_walk,F,70-74,580,yardas,>=
six_min_walk,F,75-79,550,yardas,>=
six_min_walk,F,80-84,510,yardas,>=
six_min_walk,F,85-89,460,yardas,>=
six_min_walk,F,90-94,400,yardas,>=
six_min_walk,M,60-64,680,yardas,>=
six_min_walk,M,65-69,650,yardas,>=
six_min_walk,M,70-74,620,yardas,>=
six_min_walk,M,75-79,580,yardas,>=
six_min_walk,M,80-84,530,yardas,>=
six_min_walk,M,85-89,470,yardas,>=
six_min_walk,M,90-94,400,yardas,>=
two_min_step,F,60-64,97,pasos,>=
two_min_step,F,65-69,93,pasos,>=
two_min_step,F,70-74,89,pasos,>=
two_min_step,F,75-79,84,pasos,>=
two_min_step,F,80-84,78,pasos,>=
two_min_step,F,85-89,70,pasos,>=
two_min_step,F,90-94,60,pasos,>=
two_min_step,M,60-64,106,pasos,>=
two_min_step,M,65-69,101,pasos,>=
two_min_step,M,70-74,95,pasos,>=
two_min_step,M,75-79,88,pasos,>=
two_min_step,M,80-84,80,pasos,>=
two_min_step,M,85-89,71,pasos,>=
two_min_step,M,90-94,60,pasos,>=
eight_foot_up_go,F,60-64,5.0,segundos,<=
eight_foot_up_go,F,65-69,5.3,segundos,<=
eight_foot_up_go,F,70-74,5.6,segundos,<=
eight_foot_up_go,F,75-79,6.0,segundos,<=
eight_foot_up_go,F,80-84,6.5,segundos,<=
eight_foot_up_go,F,85-89,7.1,segundos,<=
eight_foot_up_go,F,90-94,8.0,segundos,<=
eight_foot_up_go,M,60-64,4.8,segundos,<=
eight_foot_up_go,M,65-69,5.1,segundos,<=
eight_foot_up_go,M,70-74,5.5,segundos,<=
eight_foot_up_go,M,75-79,5.9,segundos,<=
eight_foot_up_go,M,80-84,6.4,segundos,<=
eight_foot_up_go,M,85-89,7.1,segundos,<=
eight_foot_up_go,M,90-94,8.0,segundos,<=
